dtime,yaw,pitch,roll,q0,q1,q2,q3
"2021/10/15 09:51:42",-4.90514303416,-9.1141224656,-3.09969101156,0.995469272137,-0.0303351003677,-0.0781963467598,-0.0447884276509
"2021/10/15 09:52:12",-4.73318142271,-9.15949021371,-1.5440540808,0.995822131634,-0.0167163386941,-0.0792165920138,-0.0422324128449
"2021/10/15 09:52:40",-4.61504801332,-8.97948100818,-0.0886669295666,0.996120214462,-0.00392257561907,-0.0781860277057,-0.0401999615133
"2021/10/15 09:53:13",-4.49037314651,-8.77490607316,1.44536418059,0.996262669563,0.00956948939711,-0.0769285485148,-0.0380938090384
"2021/10/15 09:53:43",-4.30890739587,-8.62890183962,2.22421730965,0.996328473091,0.0165124256164,-0.0758904665709,-0.0360207632184
"2021/10/15 09:54:13",-4.04723955879,-8.5353433096,2.46143126472,0.99643188715,0.018778340891,-0.075108833611,-0.0336081124842
"2021/10/15 09:54:44",-3.66752524055,-8.48074841345,2.23911063551,0.996607840061,0.017109580338,-0.0745124965906,-0.0304620750248
"2021/10/15 09:55:14",-3.38054433207,-8.43502629015,1.99087643226,0.996745347977,0.0151492794976,-0.0740109905601,-0.0281351283193
"2021/10/15 09:55:44",-3.40625512499,-8.3797974388,1.80615166881,0.996797204018,0.0135407242924,-0.0734881982207,-0.0284866653383
"2021/10/15 09:56:15",-3.49422533554,-8.32330402377,1.62318051991,0.996830940247,0.0119082098827,-0.0729603767395,-0.0293772574514
"2021/10/15 09:56:45",-3.57183132921,-8.26936339583,1.44106879458,0.99686229229,0.010289683938,-0.0724513605237,-0.0301752332598
"2021/10/15 09:57:16",-3.64160996409,-8.21588024916,1.24705534159,0.996892988682,0.00857296213508,-0.0719401463866,-0.0309110116214
"2021/10/15 09:57:46",-3.69921507293,-8.16060930462,1.05405031622,0.996924579144,0.00687360251322,-0.0714106187224,-0.031538810581
"2021/10/15 09:58:16",-3.74829145595,-8.10480128364,0.855701218033,0.996955692768,0.00513357808813,-0.0708726122975,-0.0320940800011
"2021/10/15 09:58:46",-3.7872263495,-8.04758023789,0.651143437246,0.996987342834,0.00334649975412,-0.0703185200691,-0.0325632728636
"2021/10/15 09:59:17",-3.81676283644,-7.98739385762,0.43375897954,0.997020065784,0.00145465042442,-0.069733351469,-0.0329567939043
